Target,Competitor
accordion,Flute
axe,Screwdriver
balloon,Doll
bee,Spider
butterfly,Ant
celery,Potato
chicken,Penguin
cup,Knife
desk,Bed
fork,Toaster
glove,Tie
grapes,Melon
jacket,Shoe
kettle,Pan
motorbike,Helicopter
mushroom,Peanut
nose,Leg
ostrich,Eagle
peacock,Owl
pear,Orange
piano,Trumpet
pliers,Chisel
rabbit,Pig
saw,Ladder
shirt,Hat
skirt,Waistcoat
spanner,Ruler
train,Bicycle
trousers,Coat
violin,Drum
